Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
6654000,-87.85,-124.42,50.0,1.00,-0.0,50.0,-0.0
6654250,-87.50,-124.44,50.0,1.00,-0.0,50.0,-0.0
6654500,-87.72,-127.65,50.0,1.00,-0.0,50.0,-0.0
6654750,-87.57,-125.45,50.0,1.00,-0.0,50.0,-0.0
6655000,-87.80,-123.43,50.0,1.00,-0.0,50.0,-0.0
6655250,-87.82,-120.29,50.0,1.00,-0.0,50.0,-0.0
6655500,-87.46,-125.74,50.0,1.00,-0.0,50.0,-0.0
6655750,-87.51,-120.28,50.0,1.00,-0.0,50.0,-0.0
6656000,-87.29,-122.74,50.0,1.00,-0.0,50.0,-0.0
6656250,-87.65,-126.59,50.0,1.00,-0.0,50.0,-0.0
6656500,-87.65,-123.71,50.0,1.00,-0.0,50.0,-0.0
6656750,-87.74,-122.30,50.0,1.00,-0.0,50.0,-0.0
6657000,-87.95,-119.80,50.0,1.00,-0.0,50.0,-0.0
6657250,-87.56,-123.71,50.0,1.00,-0.0,50.0,-0.0
6657500,-87.33,-126.78,50.0,1.00,-0.0,50.0,-0.0
6657750,-87.41,-124.98,50.0,1.00,-0.0,50.0,-0.0
6658000,-87.40,-123.52,50.0,1.00,-0.0,50.0,-0.0
6658250,-87.82,-124.48,50.0,1.00,-0.0,50.0,-0.0
6658500,-87.51,-123.76,50.0,1.00,-0.0,50.0,-0.0
6658750,-87.65,-126.35,50.0,1.00,-0.0,50.0,-0.0
6659000,-87.50,-125.32,50.0,1.00,-0.0,50.0,-0.0
6659250,-87.31,-124.63,50.0,1.00,-0.0,50.0,-0.0
6659500,-87.80,-123.75,50.0,1.00,-0.0,50.0,-0.0
6659750,-87.60,-124.66,50.0,1.00,-0.0,50.0,-0.0
6660000,-87.52,-123.31,50.0,1.00,-0.0,50.0,-0.0
6660250,-87.46,-125.49,50.0,1.00,-0.0,50.0,-0.0
6660500,-87.47,-124.27,50.0,1.00,-0.0,50.0,-0.0
6660750,-87.28,-121.73,50.0,1.00,-0.0,50.0,-0.0
6661000,-87.33,-122.65,50.0,1.00,-0.0,50.0,-0.0
6661250,-87.34,-122.77,50.0,1.00,-0.0,50.0,-0.0
6661500,-87.57,-125.17,50.0,1.00,-0.0,50.0,-0.0
