Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
6792250,-87.78,-126.44,50.0,1.00,-0.0,50.0,-0.0
6792500,-87.76,-125.58,50.0,1.00,-0.0,50.0,-0.0
6792750,-87.53,-121.98,50.0,1.00,-0.0,50.0,-0.0
6793000,-87.56,-125.08,50.0,1.00,-0.0,50.0,-0.0
6793250,-88.22,-122.45,50.0,1.00,-0.0,50.0,-0.0
6793500,-88.55,-124.32,50.0,1.00,-0.0,50.0,-0.0
6793750,-87.75,-124.05,50.0,1.00,-0.0,50.0,-0.0
6794000,-87.78,-122.11,50.0,1.00,-0.0,50.0,-0.0
6794250,-88.00,-125.68,50.0,1.00,-0.0,50.0,-0.0
6794500,-88.18,-126.54,50.0,1.00,-0.0,50.0,-0.0
6794750,-87.60,-123.17,50.0,1.00,-0.0,50.0,-0.0
6795000,-88.16,-127.38,50.0,1.00,-0.0,50.0,-0.0
6795250,-87.95,-124.89,50.0,1.00,-0.0,50.0,-0.0
6795500,-87.36,-125.35,50.0,1.00,-0.0,50.0,-0.0
6795750,-87.53,-125.36,50.0,1.00,-0.0,50.0,-0.0
6796000,-87.72,-123.77,50.0,1.00,-0.0,50.0,-0.0
6796250,-87.82,-125.06,50.0,1.00,-0.0,50.0,-0.0
6796500,-88.28,-127.31,50.0,1.00,-0.0,50.0,-0.0
6796750,-87.75,-126.13,50.0,1.00,-0.0,50.0,-0.0
6797000,-87.60,-125.80,50.0,1.00,-0.0,50.0,-0.0
6797250,-88.13,-125.48,50.0,1.00,-0.0,50.0,-0.0
6797500,-87.97,-126.94,50.0,1.00,-0.0,50.0,-0.0
6797750,-88.01,-124.82,50.0,1.00,-0.0,50.0,-0.0
6798000,-87.65,-125.75,50.0,1.00,-0.0,50.0,-0.0
6798250,-87.91,-127.19,50.0,1.00,-0.0,50.0,-0.0
6798500,-87.56,-124.82,50.0,1.00,-0.0,50.0,-0.0
6798750,-87.81,-126.80,50.0,1.00,-0.0,50.0,-0.0
6799000,-87.71,-124.32,50.0,1.00,-0.0,50.0,-0.0
6799250,-87.48,-121.90,50.0,1.00,-0.0,50.0,-0.0
6799500,-87.47,-125.03,50.0,1.00,-0.0,50.0,-0.0
6799750,-87.74,-125.75,50.0,1.00,-0.0,50.0,-0.0
6800000,-87.62,-122.60,50.0,1.00,-0.0,50.0,-0.0
6800250,-87.92,-124.57,50.0,1.00,-0.0,50.0,-0.0
6800500,-88.60,-125.50,50.0,1.00,-0.0,50.0,-0.0
6800750,-88.38,-123.07,50.0,1.00,-0.0,50.0,-0.0
6801000,-87.90,-121.83,50.0,1.00,-0.0,50.0,-0.0
6801250,-87.72,-121.31,50.0,1.00,-0.0,50.0,-0.0
6801500,-87.96,-123.55,50.0,1.00,-0.0,50.0,-0.0
6801750,-87.27,-122.12,50.0,1.00,-0.0,50.0,-0.0
6802000,-87.61,-122.81,50.0,1.00,-0.0,50.0,-0.0
6802250,-87.99,-126.21,50.0,1.00,-0.0,50.0,-0.0
6802500,-88.14,-124.36,50.0,1.00,-0.0,50.0,-0.0
6802750,-87.95,-124.00,50.0,1.00,-0.0,50.0,-0.0
6803000,-87.98,-125.47,50.0,1.00,-0.0,50.0,-0.0
6803250,-87.42,-124.05,50.0,1.00,-0.0,50.0,-0.0
6803500,-87.79,-123.92,50.0,1.00,-0.0,50.0,-0.0
6803750,-87.38,-124.44,50.0,1.00,-0.0,50.0,-0.0
6804000,-87.45,-119.61,50.0,1.00,-0.0,50.0,-0.0
6804250,-88.11,-126.26,50.0,1.00,-0.0,50.0,-0.0
6804500,-87.32,-126.14,50.0,1.00,-0.0,50.0,-0.0
6804750,-87.56,-125.69,50.0,1.00,-0.0,50.0,-0.0
6805000,-87.90,-122.99,50.0,1.00,-0.0,50.0,-0.0
6805250,-87.90,-122.39,50.0,1.00,-0.0,50.0,-0.0
6805500,-87.90,-122.76,50.0,1.00,-0.0,50.0,-0.0
6805750,-87.78,-123.55,50.0,1.00,-0.0,50.0,-0.0
6806000,-87.75,-125.25,50.0,1.00,-0.0,50.0,-0.0
6806250,-87.61,-126.56,50.0,1.00,-0.0,50.0,-0.0
6806500,-87.65,-124.31,50.0,1.00,-0.0,50.0,-0.0
6806750,-87.99,-125.35,50.0,1.00,-0.0,50.0,-0.0
6807000,-88.04,-123.13,50.0,1.00,-0.0,50.0,-0.0
6807250,-88.25,-124.84,50.0,1.00,-0.0,50.0,-0.0
6807500,-87.81,-124.75,50.0,1.00,-0.0,50.0,-0.0
6807750,-87.96,-121.62,50.0,1.00,-0.0,50.0,-0.0
6808000,-87.88,-126.97,50.0,1.00,-0.0,50.0,-0.0
6808250,-87.63,-126.46,50.0,1.00,-0.0,50.0,-0.0
6808500,-87.60,-124.70,50.0,1.00,-0.0,50.0,-0.0
6808750,-87.51,-123.78,50.0,1.00,-0.0,50.0,-0.0
6809000,-88.03,-126.35,50.0,1.00,-0.0,50.0,-0.0
6809250,-87.97,-123.40,50.0,1.00,-0.0,50.0,-0.0
6809500,-87.59,-121.61,50.0,1.00,-0.0,50.0,-0.0
6809750,-87.64,-123.14,50.0,1.00,-0.0,50.0,-0.0
6810000,-87.01,-123.42,50.0,1.00,-0.0,50.0,-0.0
6810250,-87.72,-122.76,50.0,1.00,-0.0,50.0,-0.0
6810500,-87.82,-124.27,50.0,1.00,-0.0,50.0,-0.0
6810750,-87.69,-123.88,50.0,1.00,-0.0,50.0,-0.0
6811000,-87.66,-126.14,50.0,1.00,-0.0,50.0,-0.0
6811250,-87.92,-126.77,50.0,1.00,-0.0,50.0,-0.0
6811500,-88.13,-125.88,50.0,1.00,-0.0,50.0,-0.0
6811750,-88.14,-122.98,50.0,1.00,-0.0,50.0,-0.0
6812000,-87.80,-125.30,50.0,1.00,-0.0,50.0,-0.0
6812250,-88.26,-122.62,50.0,1.00,-0.0,50.0,-0.0
6812500,-87.58,-126.82,50.0,1.00,-0.0,50.0,-0.0
6812750,-87.74,-123.00,50.0,1.00,-0.0,50.0,-0.0
6813000,-87.77,-122.10,50.0,1.00,-0.0,50.0,-0.0
6813250,-88.22,-126.49,50.0,1.00,-0.0,50.0,-0.0
6813500,-87.54,-122.21,50.0,1.00,-0.0,50.0,-0.0
6813750,-87.65,-125.18,50.0,1.00,-0.0,50.0,-0.0
6814000,-87.29,-122.83,50.0,1.00,-0.0,50.0,-0.0
6814250,-87.66,-125.32,50.0,1.00,-0.0,50.0,-0.0
6814500,-87.74,-122.41,50.0,1.00,-0.0,50.0,-0.0
6814750,-87.86,-120.19,50.0,1.00,-0.0,50.0,-0.0
6815000,-87.99,-123.86,50.0,1.00,-0.0,50.0,-0.0
6815250,-87.82,-126.35,50.0,1.00,-0.0,50.0,-0.0
6815500,-88.46,-127.49,50.0,1.00,-0.0,50.0,-0.0
6815750,-87.34,-122.55,50.0,1.00,-0.0,50.0,-0.0
6816000,-87.96,-124.77,50.0,1.00,-0.0,50.0,-0.0
6816250,-87.67,-122.10,50.0,1.00,-0.0,50.0,-0.0
6816500,-87.58,-122.57,50.0,1.00,-0.0,50.0,-0.0
6816750,-87.80,-125.62,50.0,1.00,-0.0,50.0,-0.0
6817000,-88.25,-121.72,50.0,1.00,-0.0,50.0,-0.0
6817250,-87.77,-129.34,50.0,1.00,-0.0,50.0,-0.0
6817500,-88.00,-124.94,50.0,1.00,-0.0,50.0,-0.0
6817750,-87.91,-123.75,50.0,1.00,-0.0,50.0,-0.0
6818000,-87.91,-123.98,50.0,1.00,-0.0,50.0,-0.0
6818250,-88.03,-128.35,50.0,1.00,-0.0,50.0,-0.0
6818500,-87.75,-125.06,50.0,1.00,-0.0,50.0,-0.0
6818750,-87.65,-125.85,50.0,1.00,-0.0,50.0,-0.0
6819000,-87.79,-123.71,50.0,1.00,-0.0,50.0,-0.0
6819250,-87.69,-122.79,50.0,1.00,-0.0,50.0,-0.0
6819500,-87.96,-123.68,50.0,1.00,-0.0,50.0,-0.0
6819750,-87.65,-126.78,50.0,1.00,-0.0,50.0,-0.0
6820000,-87.40,-122.59,50.0,1.00,-0.0,50.0,-0.0
6820250,-87.60,-123.59,50.0,1.00,-0.0,50.0,-0.0
6820500,-87.82,-123.74,50.0,1.00,-0.0,50.0,-0.0
6820750,-87.83,-125.63,50.0,1.00,-0.0,50.0,-0.0
6821000,-87.62,-123.85,50.0,1.00,-0.0,50.0,-0.0
6821250,-87.56,-130.21,50.0,1.00,-0.0,50.0,-0.0
6821500,-87.53,-125.78,50.0,1.00,-0.0,50.0,-0.0
6821750,-87.79,-123.46,50.0,1.00,-0.0,50.0,-0.0
6822000,-87.53,-125.55,50.0,1.00,-0.0,50.0,-0.0
6822250,-87.60,-126.22,50.0,1.00,-0.0,50.0,-0.0
6822500,-87.29,-122.13,50.0,1.00,-0.0,50.0,-0.0
6822750,-87.65,-125.03,50.0,1.00,-0.0,50.0,-0.0
6823000,-87.92,-124.44,50.0,1.00,-0.0,50.0,-0.0
6823250,-88.09,-122.01,50.0,1.00,-0.0,50.0,-0.0
6823500,-87.53,-122.70,50.0,1.00,-0.0,50.0,-0.0
6823750,-87.73,-122.70,50.0,1.00,-0.0,50.0,-0.0
6824000,-87.68,-122.75,50.0,1.00,-0.0,50.0,-0.0
6824250,-87.91,-122.88,50.0,1.00,-0.0,50.0,-0.0
6824500,-87.55,-122.60,50.0,1.00,-0.0,50.0,-0.0
6824750,-88.03,-124.10,50.0,1.00,-0.0,50.0,-0.0
6825000,-87.36,-123.85,50.0,1.00,-0.0,50.0,-0.0
6825250,-87.87,-123.42,50.0,1.00,-0.0,50.0,-0.0
6825500,-87.28,-124.19,50.0,1.00,-0.0,50.0,-0.0
6825750,-87.72,-122.55,50.0,1.00,-0.0,50.0,-0.0
6826000,-87.84,-127.27,50.0,1.00,-0.0,50.0,-0.0
6826250,-87.98,-123.31,50.0,1.00,-0.0,50.0,-0.0
6826500,-87.72,-122.90,50.0,1.00,-0.0,50.0,-0.0
6826750,-87.52,-125.38,50.0,1.00,-0.0,50.0,-0.0
6827000,-87.76,-124.10,50.0,1.00,-0.0,50.0,-0.0
6827250,-87.62,-126.80,50.0,1.00,-0.0,50.0,-0.0
6827500,-87.75,-126.65,50.0,1.00,-0.0,50.0,-0.0
6827750,-88.14,-128.75,50.0,1.00,-0.0,50.0,-0.0
6828000,-88.11,-123.92,50.0,1.00,-0.0,50.0,-0.0
6828250,-87.92,-125.35,50.0,1.00,-0.0,50.0,-0.0
6828500,-87.79,-125.30,50.0,1.00,-0.0,50.0,-0.0
6828750,-87.82,-124.40,50.0,1.00,-0.0,50.0,-0.0
6829000,-88.00,-122.96,50.0,1.00,-0.0,50.0,-0.0
6829250,-87.68,-123.07,50.0,1.00,-0.0,50.0,-0.0
6829500,-88.51,-124.17,50.0,1.00,-0.0,50.0,-0.0
6829750,-87.38,-125.74,50.0,1.00,-0.0,50.0,-0.0
6830000,-87.81,-121.00,50.0,1.00,-0.0,50.0,-0.0
6830250,-87.85,-123.84,50.0,1.00,-0.0,50.0,-0.0
6830500,-87.42,-127.38,50.0,1.00,-0.0,50.0,-0.0
6830750,-87.99,-124.60,50.0,1.00,-0.0,50.0,-0.0
6831000,-87.57,-124.52,50.0,1.00,-0.0,50.0,-0.0
6831250,-87.75,-121.29,50.0,1.00,-0.0,50.0,-0.0
6831500,-87.92,-125.10,50.0,1.00,-0.0,50.0,-0.0
6831750,-87.52,-121.86,50.0,1.00,-0.0,50.0,-0.0
6832000,-88.17,-123.98,50.0,1.00,-0.0,50.0,-0.0
6832250,-87.42,-121.76,50.0,1.00,-0.0,50.0,-0.0
6832500,-87.89,-126.00,50.0,1.00,-0.0,50.0,-0.0
6832750,-87.88,-125.86,50.0,1.00,-0.0,50.0,-0.0
6833000,-87.95,-123.35,50.0,1.00,-0.0,50.0,-0.0
6833250,-87.77,-125.71,50.0,1.00,-0.0,50.0,-0.0
6833500,-87.90,-124.95,50.0,1.00,-0.0,50.0,-0.0
6833750,-87.86,-126.67,50.0,1.00,-0.0,50.0,-0.0
6834000,-87.74,-127.17,50.0,1.00,-0.0,50.0,-0.0
6834250,-87.96,-123.70,50.0,1.00,-0.0,50.0,-0.0
6834500,-87.85,-127.11,50.0,1.00,-0.0,50.0,-0.0
6834750,-87.71,-122.26,50.0,1.00,-0.0,50.0,-0.0
6835000,-87.78,-124.89,50.0,1.00,-0.0,50.0,-0.0
6835250,-87.76,-124.17,50.0,1.00,-0.0,50.0,-0.0
6835500,-87.81,-122.36,50.0,1.00,-0.0,50.0,-0.0
6835750,-87.57,-124.27,50.0,1.00,-0.0,50.0,-0.0
6836000,-87.77,-125.10,50.0,1.00,-0.0,50.0,-0.0
6836250,-87.84,-128.05,50.0,1.00,-0.0,50.0,-0.0
6836500,-87.77,-126.27,50.0,1.00,-0.0,50.0,-0.0
6836750,-87.44,-126.12,50.0,1.00,-0.0,50.0,-0.0
6837000,-88.28,-124.45,50.0,1.00,-0.0,50.0,-0.0
6837250,-87.67,-124.96,50.0,1.00,-0.0,50.0,-0.0
6837500,-87.28,-124.78,50.0,1.00,-0.0,50.0,-0.0
6837750,-87.54,-123.20,50.0,1.00,-0.0,50.0,-0.0
6838000,-87.58,-123.81,50.0,1.00,-0.0,50.0,-0.0
6838250,-87.85,-126.49,50.0,1.00,-0.0,50.0,-0.0
6838500,-88.08,-125.28,50.0,1.00,-0.0,50.0,-0.0
6838750,-88.08,-127.09,50.0,1.00,-0.0,50.0,-0.0
6839000,-87.68,-123.70,50.0,1.00,-0.0,50.0,-0.0
6839250,-88.46,-125.30,50.0,1.00,-0.0,50.0,-0.0
6839500,-87.72,-124.32,50.0,1.00,-0.0,50.0,-0.0
6839750,-87.71,-123.16,50.0,1.00,-0.0,50.0,-0.0
6840000,-88.10,-125.18,50.0,1.00,-0.0,50.0,-0.0
6840250,-88.11,-123.12,50.0,1.00,-0.0,50.0,-0.0
6840500,-87.06,-122.98,50.0,1.00,-0.0,50.0,-0.0
6840750,-87.65,-122.28,50.0,1.00,-0.0,50.0,-0.0
6841000,-87.86,-121.44,50.0,1.00,-0.0,50.0,-0.0
6841250,-87.74,-129.13,50.0,1.00,-0.0,50.0,-0.0
6841500,-87.73,-123.63,50.0,1.00,-0.0,50.0,-0.0
6841750,-87.75,-122.95,50.0,1.00,-0.0,50.0,-0.0
6842000,-87.98,-120.84,50.0,1.00,-0.0,50.0,-0.0
6842250,-87.89,-124.29,50.0,1.00,-0.0,50.0,-0.0
6842500,-87.98,-127.04,50.0,1.00,-0.0,50.0,-0.0
6842750,-87.53,-127.14,50.0,1.00,-0.0,50.0,-0.0
6843000,-87.60,-124.61,50.0,1.00,-0.0,50.0,-0.0
6843250,-87.85,-122.47,50.0,1.00,-0.0,50.0,-0.0
6843500,-87.85,-123.28,50.0,1.00,-0.0,50.0,-0.0
6843750,-87.53,-123.95,50.0,1.00,-0.0,50.0,-0.0
6844000,-87.65,-120.21,50.0,1.00,-0.0,50.0,-0.0
6844250,-87.83,-124.55,50.0,1.00,-0.0,50.0,-0.0
6844500,-88.13,-124.21,50.0,1.00,-0.0,50.0,-0.0
6844750,-87.48,-124.55,50.0,1.00,-0.0,50.0,-0.0
6845000,-87.29,-123.32,50.0,1.00,-0.0,50.0,-0.0
6845250,-87.70,-124.72,50.0,1.00,-0.0,50.0,-0.0
6845500,-87.78,-123.77,50.0,1.00,-0.0,50.0,-0.0
6845750,-87.99,-126.55,50.0,1.00,-0.0,50.0,-0.0
6846000,-87.40,-126.35,50.0,1.00,-0.0,50.0,-0.0
6846250,-87.70,-125.07,50.0,1.00,-0.0,50.0,-0.0
6846500,-87.73,-126.85,50.0,1.00,-0.0,50.0,-0.0
6846750,-88.11,-119.00,50.0,1.00,-0.0,50.0,-0.0
6847000,-87.77,-124.34,50.0,1.00,-0.0,50.0,-0.0
6847250,-87.82,-126.87,50.0,1.00,-0.0,50.0,-0.0
6847500,-87.70,-125.99,50.0,1.00,-0.0,50.0,-0.0
6847750,-87.55,-121.68,50.0,1.00,-0.0,50.0,-0.0
6848000,-87.71,-126.92,50.0,1.00,-0.0,50.0,-0.0
6848250,-87.50,-124.22,50.0,1.00,-0.0,50.0,-0.0
6848500,-87.77,-123.75,50.0,1.00,-0.0,50.0,-0.0
6848750,-87.63,-125.53,50.0,1.00,-0.0,50.0,-0.0
6849000,-87.60,-124.69,50.0,1.00,-0.0,50.0,-0.0
6849250,-87.64,-125.31,50.0,1.00,-0.0,50.0,-0.0
6849500,-87.63,-123.23,50.0,1.00,-0.0,50.0,-0.0
6849750,-87.62,-124.60,50.0,1.00,-0.0,50.0,-0.0
6850000,-87.94,-128.25,50.0,1.00,-0.0,50.0,-0.0
6850250,-88.07,-122.31,50.0,1.00,-0.0,50.0,-0.0
6850500,-87.57,-124.64,50.0,1.00,-0.0,50.0,-0.0
6850750,-88.00,-122.46,50.0,1.00,-0.0,50.0,-0.0
6851000,-87.47,-121.59,50.0,1.00,-0.0,50.0,-0.0
6851250,-88.09,-125.09,50.0,1.00,-0.0,50.0,-0.0
6851500,-87.53,-125.37,50.0,1.00,-0.0,50.0,-0.0
6851750,-87.07,-122.07,50.0,1.00,-0.0,50.0,-0.0
6852000,-87.85,-123.94,50.0,1.00,-0.0,50.0,-0.0
6852250,-87.77,-123.50,50.0,1.00,-0.0,50.0,-0.0
6852500,-87.93,-126.53,50.0,1.00,-0.0,50.0,-0.0
6852750,-87.48,-124.06,50.0,1.00,-0.0,50.0,-0.0
6853000,-87.64,-125.06,50.0,1.00,-0.0,50.0,-0.0
6853250,-88.43,-122.91,50.0,1.00,-0.0,50.0,-0.0
6853500,-87.98,-123.73,50.0,1.00,-0.0,50.0,-0.0
6853750,-87.88,-126.69,50.0,1.00,-0.0,50.0,-0.0
6854000,-87.42,-123.75,50.0,1.00,-0.0,50.0,-0.0
6854250,-87.63,-122.18,50.0,1.00,-0.0,50.0,-0.0
6854500,-87.84,-120.30,50.0,1.00,-0.0,50.0,-0.0
6854750,-87.84,-126.49,50.0,1.00,-0.0,50.0,-0.0
6855000,-87.48,-125.73,50.0,1.00,-0.0,50.0,-0.0
6855250,-87.76,-122.53,50.0,1.00,-0.0,50.0,-0.0
6855500,-88.06,-126.72,50.0,1.00,-0.0,50.0,-0.0
6855750,-88.09,-124.58,50.0,1.00,-0.0,50.0,-0.0
6856000,-87.78,-124.18,50.0,1.00,-0.0,50.0,-0.0
6856250,-87.88,-123.72,50.0,1.00,-0.0,50.0,-0.0
6856500,-87.35,-129.12,50.0,1.00,-0.0,50.0,-0.0
6856750,-87.59,-127.27,50.0,1.00,-0.0,50.0,-0.0
6857000,-87.47,-124.24,50.0,1.00,-0.0,50.0,-0.0
6857250,-87.89,-124.67,50.0,1.00,-0.0,50.0,-0.0
6857500,-87.69,-124.76,50.0,1.00,-0.0,50.0,-0.0
6857750,-88.49,-124.46,50.0,1.00,-0.0,50.0,-0.0
6858000,-87.81,-123.85,50.0,1.00,-0.0,50.0,-0.0
6858250,-87.78,-125.33,50.0,1.00,-0.0,50.0,-0.0
6858500,-87.78,-125.69,50.0,1.00,-0.0,50.0,-0.0
6858750,-88.03,-124.01,50.0,1.00,-0.0,50.0,-0.0
6859000,-87.81,-122.22,50.0,1.00,-0.0,50.0,-0.0
6859250,-87.85,-124.83,50.0,1.00,-0.0,50.0,-0.0
6859500,-87.78,-125.10,50.0,1.00,-0.0,50.0,-0.0
6859750,-87.56,-127.54,50.0,1.00,-0.0,50.0,-0.0
6860000,-87.53,-123.73,50.0,1.00,-0.0,50.0,-0.0
6860250,-88.11,-123.24,50.0,1.00,-0.0,50.0,-0.0
6860500,-87.65,-122.16,50.0,1.00,-0.0,50.0,-0.0
6860750,-87.80,-124.41,50.0,1.00,-0.0,50.0,-0.0
6861000,-87.99,-127.90,50.0,1.00,-0.0,50.0,-0.0
6861250,-88.16,-125.24,50.0,1.00,-0.0,50.0,-0.0
6861500,-87.90,-124.77,50.0,1.00,-0.0,50.0,-0.0
6861750,-88.53,-128.19,50.0,1.00,-0.0,50.0,-0.0
6862000,-88.00,-123.71,50.0,1.00,-0.0,50.0,-0.0
6862250,-87.84,-125.98,50.0,1.00,-0.0,50.0,-0.0
6862500,-87.68,-124.36,50.0,1.00,-0.0,50.0,-0.0
6862750,-87.92,-124.44,50.0,1.00,-0.0,50.0,-0.0
6863000,-88.22,-124.33,50.0,1.00,-0.0,50.0,-0.0
6863250,-87.35,-126.51,50.0,1.00,-0.0,50.0,-0.0
6863500,-88.14,-121.81,50.0,1.00,-0.0,50.0,-0.0
6863750,-87.59,-122.42,50.0,1.00,-0.0,50.0,-0.0
6864000,-88.08,-124.15,50.0,1.00,-0.0,50.0,-0.0
6864250,-87.05,-125.08,50.0,1.00,-0.0,50.0,-0.0
6864500,-87.53,-125.53,50.0,1.00,-0.0,50.0,-0.0
6864750,-87.92,-123.24,50.0,1.00,-0.0,50.0,-0.0
6865000,-88.03,-126.13,50.0,1.00,-0.0,50.0,-0.0
6865250,-87.83,-121.85,50.0,1.00,-0.0,50.0,-0.0
6865500,-87.85,-127.05,50.0,1.00,-0.0,50.0,-0.0
6865750,-87.51,-121.99,50.0,1.00,-0.0,50.0,-0.0
6866000,-87.82,-125.23,50.0,1.00,-0.0,50.0,-0.0
6866250,-87.44,-127.19,50.0,1.00,-0.0,50.0,-0.0
6866500,-88.36,-126.12,50.0,1.00,-0.0,50.0,-0.0
6866750,-87.73,-122.67,50.0,1.00,-0.0,50.0,-0.0
6867000,-87.69,-118.39,50.0,1.00,-0.0,50.0,-0.0
6867250,-87.30,-122.22,50.0,1.00,-0.0,50.0,-0.0
6867500,-88.18,-125.85,50.0,1.00,-0.0,50.0,-0.0
6867750,-87.87,-123.99,50.0,1.00,-0.0,50.0,-0.0
6868000,-88.28,-125.24,50.0,1.00,-0.0,50.0,-0.0
6868250,-87.48,-126.11,50.0,1.00,-0.0,50.0,-0.0
6868500,-88.08,-126.06,50.0,1.00,-0.0,50.0,-0.0
6868750,-87.43,-126.48,50.0,1.00,-0.0,50.0,-0.0
6869000,-87.58,-123.75,50.0,1.00,-0.0,50.0,-0.0
6869250,-87.71,-126.80,50.0,1.00,-0.0,50.0,-0.0
6869500,-88.30,-123.04,50.0,1.00,-0.0,50.0,-0.0
6869750,-87.66,-122.80,50.0,1.00,-0.0,50.0,-0.0
6870000,-88.25,-124.70,50.0,1.00,-0.0,50.0,-0.0
6870250,-87.95,-125.02,50.0,1.00,-0.0,50.0,-0.0
6870500,-87.94,-121.81,50.0,1.00,-0.0,50.0,-0.0
6870750,-87.89,-123.06,50.0,1.00,-0.0,50.0,-0.0
6871000,-87.71,-123.31,50.0,1.00,-0.0,50.0,-0.0
6871250,-87.94,-125.83,50.0,1.00,-0.0,50.0,-0.0
6871500,-87.83,-123.56,50.0,1.00,-0.0,50.0,-0.0
6871750,-87.69,-126.29,50.0,1.00,-0.0,50.0,-0.0
6872000,-87.85,-125.82,50.0,1.00,-0.0,50.0,-0.0
6872250,-87.85,-127.35,50.0,1.00,-0.0,50.0,-0.0
6872500,-88.14,-121.87,50.0,1.00,-0.0,50.0,-0.0
6872750,-87.64,-125.52,50.0,1.00,-0.0,50.0,-0.0
6873000,-87.84,-122.87,50.0,1.00,-0.0,50.0,-0.0
6873250,-87.55,-127.22,50.0,1.00,-0.0,50.0,-0.0
6873500,-87.91,-125.90,50.0,1.00,-0.0,50.0,-0.0
6873750,-87.82,-126.11,50.0,1.00,-0.0,50.0,-0.0
6874000,-87.97,-129.49,50.0,1.00,-0.0,50.0,-0.0
6874250,-88.05,-125.50,50.0,1.00,-0.0,50.0,-0.0
6874500,-87.76,-124.98,50.0,1.00,-0.0,50.0,-0.0
6874750,-87.46,-120.33,50.0,1.00,-0.0,50.0,-0.0
6875000,-88.16,-126.25,50.0,1.00,-0.0,50.0,-0.0
6875250,-87.96,-122.87,50.0,1.00,-0.0,50.0,-0.0
6875500,-87.78,-126.05,50.0,1.00,-0.0,50.0,-0.0
6875750,-87.79,-124.07,50.0,1.00,-0.0,50.0,-0.0
6876000,-88.06,-125.25,50.0,1.00,-0.0,50.0,-0.0
6876250,-87.70,-126.39,50.0,1.00,-0.0,50.0,-0.0
6876500,-87.90,-127.06,50.0,1.00,-0.0,50.0,-0.0
6876750,-87.95,-124.51,50.0,1.00,-0.0,50.0,-0.0
6877000,-88.46,-124.30,50.0,1.00,-0.0,50.0,-0.0
6877250,-87.66,-124.82,50.0,1.00,-0.0,50.0,-0.0
6877500,-87.61,-121.91,50.0,1.00,-0.0,50.0,-0.0
6877750,-87.68,-123.36,50.0,1.00,-0.0,50.0,-0.0
6878000,-88.19,-126.66,50.0,1.00,-0.0,50.0,-0.0
6878250,-87.60,-125.43,50.0,1.00,-0.0,50.0,-0.0
6878500,-88.02,-124.59,50.0,1.00,-0.0,50.0,-0.0
6878750,-87.81,-120.48,50.0,1.00,-0.0,50.0,-0.0
6879000,-88.03,-125.32,50.0,1.00,-0.0,50.0,-0.0
6879250,-87.76,-122.39,50.0,1.00,-0.0,50.0,-0.0
6879500,-87.73,-126.41,50.0,1.00,-0.0,50.0,-0.0
6879750,-87.80,-123.36,50.0,1.00,-0.0,50.0,-0.0
6880000,-87.48,-124.80,50.0,1.00,-0.0,50.0,-0.0
6880250,-87.95,-124.85,50.0,1.00,-0.0,50.0,-0.0
6880500,-87.57,-126.29,50.0,1.00,-0.0,50.0,-0.0
6880750,-87.76,-122.96,50.0,1.00,-0.0,50.0,-0.0
6881000,-87.75,-127.61,50.0,1.00,-0.0,50.0,-0.0
6881250,-87.75,-123.99,50.0,1.00,-0.0,50.0,-0.0
6881500,-87.60,-122.90,50.0,1.00,-0.0,50.0,-0.0
6881750,-87.92,-124.20,50.0,1.00,-0.0,50.0,-0.0
6882000,-88.27,-123.42,50.0,1.00,-0.0,50.0,-0.0
6882250,-88.03,-124.69,50.0,1.00,-0.0,50.0,-0.0
6882500,-87.78,-123.21,50.0,1.00,-0.0,50.0,-0.0
6882750,-87.70,-125.89,50.0,1.00,-0.0,50.0,-0.0
6883000,-88.04,-124.83,50.0,1.00,-0.0,50.0,-0.0
6883250,-86.93,-126.41,50.0,1.00,-0.0,50.0,-0.0
6883500,-87.79,-124.73,50.0,1.00,-0.0,50.0,-0.0
6883750,-87.80,-122.52,50.0,1.00,-0.0,50.0,-0.0
6884000,-87.80,-126.03,50.0,1.00,-0.0,50.0,-0.0
6884250,-87.50,-127.07,50.0,1.00,-0.0,50.0,-0.0
6884500,-88.00,-125.97,50.0,1.00,-0.0,50.0,-0.0
6884750,-87.99,-125.59,50.0,1.00,-0.0,50.0,-0.0
6885000,-87.51,-121.32,50.0,1.00,-0.0,50.0,-0.0
6885250,-88.18,-125.37,50.0,1.00,-0.0,50.0,-0.0
6885500,-88.25,-123.86,50.0,1.00,-0.0,50.0,-0.0
6885750,-87.51,-126.85,50.0,1.00,-0.0,50.0,-0.0
6886000,-88.01,-123.10,50.0,1.00,-0.0,50.0,-0.0
6886250,-87.83,-123.35,50.0,1.00,-0.0,50.0,-0.0
6886500,-87.75,-124.08,50.0,1.00,-0.0,50.0,-0.0
6886750,-87.68,-124.22,50.0,1.00,-0.0,50.0,-0.0
6887000,-88.05,-124.93,50.0,1.00,-0.0,50.0,-0.0
6887250,-87.54,-123.48,50.0,1.00,-0.0,50.0,-0.0
6887500,-87.60,-127.91,50.0,1.00,-0.0,50.0,-0.0
6887750,-88.14,-122.87,50.0,1.00,-0.0,50.0,-0.0
6888000,-87.40,-124.65,50.0,1.00,-0.0,50.0,-0.0
6888250,-88.12,-125.62,50.0,1.00,-0.0,50.0,-0.0
6888500,-87.39,-124.52,50.0,1.00,-0.0,50.0,-0.0
6888750,-88.47,-123.23,50.0,1.00,-0.0,50.0,-0.0
